id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
427,Thompson,tube,6.89,2495,0.0502,22.2,22.2,610,3.2
1034,Thompson,tube,13.79,2550,0.0628,7.7,7.7,457,2.3
1209,Thompson,tube,18.96,3377,-0.1556,1.9,1.9,152,4.3
129,Thompson,tube,3.69,4055,0.0817,10.8,10.8,864,4.2
539,Thompson,tube,6.89,5466,-0.0664,37.5,37.5,1953,4.9
1143,Thompson,tube,15.51,2102,-0.044,1.9,1.9,696,2.1
496,Thompson,tube,6.89,5357,0.055,23.6,23.6,1972,2.4
1384,Weatherhead,tube,13.79,340,0.0799,11.1,11.1,457,2.7
1536,Janssen,annulus,6.86,1519,0.1388,8.5,22.3,2743,3.0
1207,Thompson,tube,18.96,2740,-0.2631,1.9,1.9,152,4.6
1540,Janssen,annulus,6.89,2278,0.1832,8.5,22.3,2743,1.9
482,Thompson,tube,6.89,2712,-0.0089,23.6,23.6,1972,3.0
1454,Beus,annulus,11.03,3701,0.0833,5.6,15.2,2134,1.9
1597,Janssen,annulus,6.89,1519,0.159,12.7,42.3,1778,2.7
904,Thompson,tube,13.79,4787,-0.0398,4.7,4.7,318,5.4
1407,Williams,tube,13.79,1339,0.1114,9.5,9.5,1836,1.4
1232,Weatherhead,tube,13.79,2590,0.0334,7.7,7.7,457,2.7
678,Thompson,tube,11.07,4069,0.0639,11.5,11.5,1143,2.5
1294,Weatherhead,tube,13.79,1383,0.0027,7.7,7.7,457,2.7
1855,Richenderfer,plate,0.51,2000,-0.0204,15.0,120.0,10,8.0
652,Thompson,tube,11.0,2034,0.0783,11.5,11.5,914,2.6
1436,Williams,tube,15.17,2699,0.1038,9.5,9.5,1836,1.6
1434,Williams,tube,15.17,1340,0.1712,9.5,9.5,1836,0.9
1248,Weatherhead,tube,13.79,2034,0.0226,7.7,7.7,457,2.7
756,Thompson,tube,13.79,3174,-0.0577,1.9,1.9,696,3.0
1761,Janssen,annulus,9.71,5561,-0.0298,12.7,38.1,914,3.9
1019,Thompson,tube,13.79,1682,-0.0276,7.7,7.7,457,3.2
406,Thompson,tube,6.89,2699,0.0463,12.8,12.8,1930,3.0
713,Thompson,tube,12.07,4042,0.0141,1.9,1.9,152,5.2
1482,Beus,annulus,13.79,3679,-0.0394,5.6,15.2,2134,2.6
310,Thompson,tube,6.86,1858,0.0129,10.8,10.8,216,4.7
227,Thompson,tube,6.89,3825,0.0051,10.3,10.3,762,3.9
1618,Janssen,annulus,4.13,1519,0.1272,12.7,42.3,1778,3.2
998,Thompson,tube,13.79,1383,0.0876,7.7,7.7,457,2.3
1430,Williams,tube,15.17,1345,0.14,9.5,9.5,1836,1.1
728,Thompson,tube,12.41,542,0.1725,19.8,19.8,610,2.0
1470,Beus,annulus,15.51,1355,0.0426,5.6,15.2,2134,1.3
149,Thompson,tube,6.93,2224,0.1531,4.6,4.6,229,4.8
583,Thompson,tube,11.03,2034,0.1181,9.3,9.3,1524,2.6
629,Thompson,tube,10.34,5967,-0.1428,10.3,10.3,762,7.7
887,Thompson,tube,13.79,3472,-0.1261,4.7,4.7,318,5.7
1756,Janssen,annulus,6.89,5547,-0.0042,12.7,38.1,914,3.9
1165,Thompson,tube,17.24,2848,-0.0045,1.9,1.9,152,4.2
615,Thompson,tube,10.34,4855,-0.118,10.3,10.3,762,6.8
1707,Janssen,annulus,6.92,2292,0.0497,4.6,11.3,1778,2.6
1254,Weatherhead,tube,13.79,1655,-0.1762,7.7,7.7,457,4.3
1088,Thompson,tube,13.79,1777,0.0619,7.8,7.8,591,2.1
839,Thompson,tube,13.79,3580,0.0827,4.7,4.7,305,3.2
287,Thompson,tube,6.89,6266,-0.0283,10.3,10.3,794,5.2
1775,Janssen,annulus,6.89,825,0.1234,12.7,38.1,737,2.9
842,Thompson,tube,13.79,4164,0.0468,4.7,4.7,305,3.1
1361,Weatherhead,tube,13.79,1078,0.1698,11.1,11.1,457,1.3
1532,Janssen,annulus,6.89,1533,0.2047,8.5,22.3,2743,2.2
1487,Beus,annulus,13.79,1409,-0.082,5.6,15.2,2134,1.5
1555,Janssen,annulus,6.89,1519,0.1819,8.5,22.3,1829,2.5
1443,Beus,annulus,15.51,1349,0.2195,5.6,15.2,2134,1.0
911,Thompson,tube,13.79,5221,-0.3273,4.7,4.7,318,9.5
1667,Janssen,annulus,6.99,382,0.1759,22.2,96.3,1778,2.6
1504,Beus,annulus,11.03,671,0.232,5.6,15.2,2134,1.6
939,Thompson,tube,13.79,1316,-0.1121,5.7,5.7,625,3.4
675,Thompson,tube,11.0,3404,0.0788,11.5,11.5,1143,2.2
940,Thompson,tube,13.79,1316,-0.1186,5.7,5.7,625,3.4
702,Thompson,tube,12.07,2590,-0.0518,1.9,1.9,152,4.5
1325,Weatherhead,tube,13.79,1926,-0.2295,11.1,11.1,457,3.9
1616,Janssen,annulus,6.91,1519,-0.0361,12.7,42.3,1778,5.1
494,Thompson,tube,6.89,3825,-0.0414,23.6,23.6,1972,3.7
1229,Weatherhead,tube,13.79,2712,-0.0638,7.7,7.7,457,4.1
278,Thompson,tube,6.89,5221,-0.0386,10.3,10.3,794,5.9
1722,Janssen,annulus,6.92,2767,-0.0924,12.7,38.1,914,4.9
359,Thompson,tube,6.86,4056,0.0043,10.8,10.8,864,4.3
1038,Thompson,tube,13.79,2604,0.0214,7.7,7.7,457,2.7
237,Thompson,tube,6.89,4055,-0.0329,10.3,10.3,762,4.9
552,Thompson,tube,9.0,4069,0.0637,11.5,11.5,1524,2.4
1742,Janssen,annulus,6.89,2807,-0.0329,6.4,15.9,914,4.3
1359,Weatherhead,tube,13.79,1397,0.0392,11.1,11.1,457,1.8
209,Thompson,tube,6.89,2495,0.1088,8.0,8.0,610,4.2
1291,Weatherhead,tube,13.79,1370,-0.2599,7.7,7.7,457,4.5
1864,Richenderfer,plate,1.01,2000,-0.0218,15.0,120.0,10,10.9
59,Thompson,tube,3.93,3865,0.1332,5.6,5.6,216,7.2
1484,Beus,annulus,13.79,2719,-0.015,5.6,15.2,2134,2.0
1477,Beus,annulus,13.79,1364,0.2147,5.6,15.2,2134,0.9
364,Thompson,tube,6.62,4032,0.1423,10.8,10.8,1727,2.4
967,Thompson,tube,13.79,739,-0.1756,7.7,7.7,457,3.5
1734,Janssen,annulus,6.85,2807,0.1136,6.4,15.9,914,2.8
1245,Weatherhead,tube,13.79,2021,-0.0991,7.7,7.7,457,4.0
1822,Kossolapov,plate,0.1,912,-0.0929,15.0,120.0,10,8.8
1138,Thompson,tube,15.51,3024,-0.1124,1.9,1.9,152,6.6
917,Thompson,tube,13.79,5574,-0.4486,4.7,4.7,318,12.7
860,Thompson,tube,13.79,1397,0.1418,4.7,4.7,318,2.3
994,Thompson,tube,13.79,1370,0.0111,7.7,7.7,457,2.7
119,Thompson,tube,3.86,4069,-0.0237,10.8,10.8,432,5.5
1241,Weatherhead,tube,13.79,2563,0.064,7.7,7.7,457,2.3
1092,Thompson,tube,13.79,2007,0.0733,7.8,7.8,591,2.2
523,Thompson,tube,6.89,1912,0.118,37.5,37.5,1953,2.3
514,Thompson,tube,6.89,1356,-0.0303,37.5,37.5,1953,3.5
82,Thompson,tube,3.45,3811,0.1494,10.3,10.3,762,4.4
1395,Williams,tube,11.03,2680,0.0912,9.5,9.5,1836,2.4
1694,Janssen,annulus,6.89,1533,0.0972,8.5,24.6,1778,3.1
381,Thompson,tube,6.96,4069,0.1227,11.5,11.5,1727,2.4
1664,Janssen,annulus,6.78,388,0.2032,22.2,96.3,1778,2.3
85,Thompson,tube,3.45,3811,0.1494,10.3,10.3,762,4.4
1570,Janssen,annulus,6.92,1519,0.1064,12.7,42.3,2711,3.2
330,Thompson,tube,6.72,4001,-0.0801,10.8,10.8,432,5.8
1820,Kossolapov,plate,0.1,2078,-0.1392,15.0,120.0,10,14.7
1169,Thompson,tube,17.24,3445,-0.0077,1.9,1.9,152,4.9
680,Thompson,tube,11.07,1356,0.204,11.5,11.5,1524,2.4
1537,Janssen,annulus,6.87,1505,0.1537,8.5,22.3,2743,3.2
1324,Weatherhead,tube,13.79,1831,0.0928,11.1,11.1,457,1.8
452,Thompson,tube,6.89,2699,-0.1859,23.6,23.6,610,5.5
491,Thompson,tube,6.89,3784,0.0253,23.6,23.6,1972,2.5
1382,Weatherhead,tube,13.79,332,0.1583,11.1,11.1,457,2.6
288,Thompson,tube,6.89,6279,-0.0482,10.3,10.3,794,6.8
1329,Weatherhead,tube,13.79,1994,-0.0179,11.1,11.1,457,2.5
1851,Richenderfer,plate,0.51,1500,-0.0102,15.0,120.0,10,7.2
1274,Weatherhead,tube,13.79,1397,-0.2653,7.7,7.7,457,4.5
671,Thompson,tube,11.03,3391,0.099,11.5,11.5,1143,1.8
694,Thompson,tube,12.07,2306,-0.0229,1.9,1.9,152,3.2
1774,Janssen,annulus,6.92,555,0.0886,12.7,38.1,737,4.3
1481,Beus,annulus,13.79,1355,0.1538,5.6,15.2,2134,1.1
810,Thompson,tube,13.79,4855,0.0108,4.6,4.6,295,3.6
1010,Thompson,tube,13.79,1655,0.0929,7.7,7.7,457,1.9
1545,Janssen,annulus,6.85,2265,0.1017,8.5,22.3,2743,3.3
328,Thompson,tube,6.79,3838,-0.0188,10.8,10.8,432,3.9
1462,Beus,annulus,15.51,2707,0.107,5.6,15.2,2134,1.5
1030,Thompson,tube,13.79,2021,-0.0991,7.7,7.7,457,4.0
999,Thompson,tube,13.79,1383,0.1503,7.7,7.7,457,1.5
950,Thompson,tube,13.79,5262,-0.1054,5.7,5.7,625,5.9
773,Thompson,tube,13.79,2523,0.15,4.6,4.6,295,2.1
178,Thompson,tube,6.93,3323,0.1178,5.6,5.6,216,4.9
1665,Janssen,annulus,6.92,381,0.1594,22.2,96.3,1778,2.9
621,Thompson,tube,10.34,5601,-0.0483,10.3,10.3,762,5.2
87,Thompson,tube,3.45,3879,0.146,10.3,10.3,762,4.4
1453,Beus,annulus,13.79,2722,0.0409,5.6,15.2,2134,2.3
1770,Janssen,annulus,6.89,553,0.1253,12.7,38.1,737,3.1
458,Thompson,tube,6.89,3825,-0.1479,23.6,23.6,610,5.9
55,Thompson,tube,3.76,2767,0.0892,4.6,4.6,229,8.0
1403,Williams,tube,13.79,1396,0.0627,9.5,9.5,1836,1.8
222,Thompson,tube,6.89,3662,0.0491,10.3,10.3,762,3.1
114,Thompson,tube,3.9,2034,0.1113,10.8,10.8,432,5.7
1068,Thompson,tube,13.79,1286,0.0868,7.8,7.8,591,2.1
1813,Mortimore,annulus,8.27,679,0.2073,5.0,13.3,2134,1.3
1205,Thompson,tube,18.96,2726,-0.3964,1.9,1.9,152,5.1
175,Thompson,tube,6.89,2061,0.0829,5.6,5.6,216,6.6
1369,Weatherhead,tube,13.79,674,0.0808,11.1,11.1,457,1.9
590,Thompson,tube,10.34,3757,-0.0172,10.3,10.3,762,4.0
1459,Beus,annulus,11.03,2730,0.0901,5.6,15.2,2134,2.1
19,Peskov,tube,16.0,1617,-0.03,10.0,10.0,890,1.7
424,Thompson,tube,6.89,7269,0.1006,12.8,12.8,1930,2.4
1250,Weatherhead,tube,13.79,2034,0.0936,7.7,7.7,457,1.8
286,Thompson,tube,6.89,6212,-0.0268,10.3,10.3,794,5.2
1852,Richenderfer,plate,0.51,1500,-0.0204,15.0,120.0,10,7.3
429,Thompson,tube,6.89,2265,0.0262,23.5,23.5,610,3.2
1627,Janssen,annulus,4.13,753,0.175,12.7,42.3,1778,3.4
1491,Beus,annulus,13.79,1349,-0.1462,5.6,15.2,2134,2.4
32,Thompson,tube,0.1,1370,0.1293,1.0,1.0,38,5.5
1134,Thompson,tube,15.51,2957,0.0155,1.9,1.9,152,4.2
1700,Janssen,annulus,6.89,3052,0.061,4.6,11.3,1778,2.5
215,Thompson,tube,7.03,4069,0.0666,9.3,9.3,1359,3.3
1356,Weatherhead,tube,13.79,1356,-0.1204,11.1,11.1,457,2.8
327,Thompson,tube,6.89,3513,0.0823,10.8,10.8,432,3.5
561,Thompson,tube,10.51,2428,0.0535,4.6,4.6,229,4.6
1321,Weatherhead,tube,13.79,1994,-0.0123,11.1,11.1,457,2.6
1342,Weatherhead,tube,13.79,1763,0.1169,11.1,11.1,457,1.6
1113,Thompson,tube,13.79,2767,0.0857,7.8,7.8,591,2.3
342,Thompson,tube,7.0,3770,0.0534,10.8,10.8,864,3.2
630,Thompson,tube,10.34,5995,-0.1403,10.3,10.3,762,7.8
148,Thompson,tube,6.89,1410,0.1361,4.6,4.6,229,6.6
361,Thompson,tube,7.03,4059,0.0424,10.8,10.8,864,3.2
84,Thompson,tube,3.45,3811,0.145,10.3,10.3,762,4.3
49,Thompson,tube,3.45,1492,0.0049,3.6,3.6,76,8.4
469,Thompson,tube,6.89,1899,0.1388,23.6,23.6,1972,2.2
156,Thompson,tube,7.26,2590,0.0567,4.6,4.6,229,5.7
1327,Weatherhead,tube,13.79,2007,-0.0766,11.1,11.1,457,3.1
1306,Weatherhead,tube,13.79,929,-0.0202,7.7,7.7,457,2.7
1125,Thompson,tube,15.51,2156,-0.0258,1.9,1.9,152,3.8
1525,Janssen,annulus,6.89,1533,0.2043,8.5,22.3,2743,2.0
501,Thompson,tube,6.89,7215,0.0404,23.6,23.6,1972,2.7
180,Thompson,tube,6.93,3852,0.0363,5.6,5.6,216,5.8
1284,Weatherhead,tube,13.79,1383,0.0876,7.7,7.7,457,2.3
1696,Janssen,annulus,6.85,1533,0.0635,8.5,24.6,1778,3.6
924,Thompson,tube,13.79,6212,-0.0762,4.7,4.7,318,6.3
772,Thompson,tube,13.79,2523,0.1538,4.6,4.6,295,2.1
1841,Richenderfer,plate,0.2,1000,-0.0385,15.0,120.0,10,5.2
529,Thompson,tube,6.89,2726,0.0648,37.5,37.5,1953,2.3
347,Thompson,tube,6.89,4069,0.0212,10.8,10.8,864,4.1
1351,Weatherhead,tube,13.79,1200,0.1597,11.1,11.1,457,1.4
1826,Kossolapov,plate,0.1,882,-0.0466,15.0,120.0,10,5.2
874,Thompson,tube,13.79,2699,0.1274,4.7,4.7,318,2.7
986,Thompson,tube,13.79,1351,-0.1184,7.7,7.7,457,3.6
1174,Thompson,tube,17.24,2089,-0.1205,1.9,1.9,696,2.1
602,Thompson,tube,10.34,3960,-0.0557,10.3,10.3,762,5.1
949,Thompson,tube,13.79,5262,-0.3732,5.7,5.7,625,8.4
244,Thompson,tube,6.89,5723,-0.0269,10.3,10.3,762,4.9
1811,Mortimore,annulus,11.03,1352,0.1628,5.0,13.3,2134,1.1
1465,Beus,annulus,15.51,3670,-0.0279,5.6,15.2,2134,2.2
1377,Weatherhead,tube,13.79,660,-0.0916,11.1,11.1,457,2.8
313,Thompson,tube,6.86,2034,-0.0875,10.8,10.8,216,6.0
436,Thompson,tube,6.89,949,0.0229,23.6,23.6,610,4.0
1769,Janssen,annulus,6.89,549,0.1695,12.7,38.1,737,2.6
819,Thompson,tube,13.79,1462,0.2027,4.7,4.7,305,2.0
309,Thompson,tube,7.0,1017,0.1133,10.8,10.8,216,4.6
431,Thompson,tube,6.89,2319,-0.0134,23.5,23.5,610,3.4
661,Thompson,tube,11.07,4069,0.0498,11.5,11.5,914,2.9
371,Thompson,tube,6.72,4077,0.0685,10.8,10.8,1727,2.8
567,Thompson,tube,11.03,2034,-0.0488,9.3,9.3,305,4.5
856,Thompson,tube,13.79,1085,0.0648,4.7,4.7,318,2.0
182,Thompson,tube,7.0,2061,0.1894,5.6,5.6,432,4.4
1326,Weatherhead,tube,13.79,1953,-0.1431,11.1,11.1,457,3.6
622,Thompson,tube,10.34,5696,-0.0518,10.3,10.3,762,5.2
722,Thompson,tube,12.07,4028,-0.0305,1.9,1.9,696,3.7
1424,Williams,tube,13.79,2776,0.1476,9.5,9.5,1836,1.1
1422,Williams,tube,13.79,2731,0.1583,9.5,9.5,1836,1.1
1716,Janssen,annulus,6.89,2767,0.0108,12.7,38.1,914,3.6
297,Thompson,tube,6.89,6971,-0.0614,10.3,10.3,794,7.1
793,Thompson,tube,13.79,3906,0.0711,4.6,4.6,295,2.5
462,Thompson,tube,6.89,5479,-0.11,23.6,23.6,610,6.4
1272,Weatherhead,tube,13.79,1336,-0.159,7.7,7.7,457,3.6
1624,Janssen,annulus,4.13,2265,0.0721,12.7,42.3,1778,4.1
378,Thompson,tube,6.93,4069,0.0989,11.5,11.5,1727,2.7
1031,Thompson,tube,13.79,2034,-0.1488,7.7,7.7,457,4.5
106,Thompson,tube,3.45,7893,-0.0071,10.3,10.3,762,4.8
127,Thompson,tube,3.9,3974,0.1316,10.8,10.8,864,3.9
1058,Thompson,tube,13.79,1021,0.1212,7.8,7.8,591,2.1
1569,Janssen,annulus,6.89,1546,0.1225,12.7,42.3,2711,2.5
356,Thompson,tube,6.86,2010,0.1754,10.8,10.8,841,2.9
1513,Beus,annulus,8.27,1354,0.0749,5.6,15.2,2134,2.5
683,Thompson,tube,11.03,2672,0.0839,11.5,11.5,1524,2.7
716,Thompson,tube,12.07,2455,-0.0564,1.9,1.9,696,2.2
1080,Thompson,tube,13.79,1505,0.0675,7.8,7.8,591,2.3
210,Thompson,tube,6.89,2563,0.0606,8.0,8.0,610,4.7
811,Thompson,tube,13.79,4977,0.0183,4.6,4.6,295,3.6
141,Thompson,tube,6.89,1316,-0.0416,3.6,3.6,76,8.0
1340,Weatherhead,tube,13.79,2048,0.0295,11.1,11.1,457,2.2
1246,Weatherhead,tube,13.79,2007,-0.0668,7.7,7.7,457,3.6
1170,Thompson,tube,17.24,3580,-0.0443,1.9,1.9,152,5.4
1474,Beus,annulus,15.51,671,0.1771,5.6,15.2,2134,1.1
1024,Thompson,tube,13.79,1980,-0.0158,7.7,7.7,457,3.1
786,Thompson,tube,13.79,3486,0.067,4.6,4.6,295,3.1
712,Thompson,tube,12.07,4042,-0.0058,1.9,1.9,152,4.7
1182,Thompson,tube,18.27,861,-0.1224,3.0,3.0,35,2.2
760,Thompson,tube,13.79,3933,-0.0659,1.9,1.9,696,3.7
755,Thompson,tube,13.79,2699,-0.0833,1.9,1.9,696,2.5
11,Peskov,tube,12.0,4986,-0.0629,10.0,10.0,1000,4.0
1782,Janssen,annulus,6.89,826,-0.0813,12.7,38.1,737,5.5
1051,Thompson,tube,13.79,685,0.1034,7.8,7.8,591,2.3
283,Thompson,tube,6.89,5723,-0.0553,10.3,10.3,794,6.0
292,Thompson,tube,6.89,6618,-0.0534,10.3,10.3,794,7.0
627,Thompson,tube,10.34,5940,-0.1491,10.3,10.3,762,7.5
1122,Thompson,tube,15.51,2034,-0.0123,1.9,1.9,152,3.1
757,Thompson,tube,13.79,3282,-0.0669,1.9,1.9,696,3.1
130,Thompson,tube,3.72,4055,0.0804,10.8,10.8,864,4.2
1101,Thompson,tube,13.79,2184,0.0839,7.8,7.8,591,2.3
324,Thompson,tube,6.72,2034,0.0069,10.8,10.8,432,4.6
1393,Williams,tube,8.27,4027,0.1282,9.5,9.5,1836,2.0
1690,Janssen,annulus,6.92,1519,0.1988,8.5,24.6,1778,2.0
905,Thompson,tube,13.79,4882,-0.1193,4.7,4.7,318,6.7
1739,Janssen,annulus,6.89,2807,0.0135,6.4,15.9,914,3.9
